,Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
0,1,Peyton Manning *,IND,34,QB,16,16,10-6-0,450,679,66.3,4700,33,4.9,17,2.5,253,73,6.9,6.8,10.4,293.8,91.9,75.7,16,91,6.63,6.48,2.3,0,2
1,2,Drew Brees*,NOR,31,QB,16,16,11-5-0,448,658,68.1,4620,33,5.0,22,3.3,238,80,7.0,6.5,10.3,288.8,90.9,70.6,25,185,6.49,6.01,3.7,4,5
2,3,Sam Bradford ,STL,23,QB,16,16,7-9-0,354,590,60.0,3512,18,3.1,15,2.5,179,49,6.0,5.4,9.9,219.5,76.5,47.0,34,244,5.24,4.73,5.4,,
3,4,Carson Palmer,CIN,31,QB,16,16,4-12-0,362,586,61.8,3970,26,4.4,20,3.4,206,78,6.8,6.1,11.0,248.1,82.4,54.6,26,201,6.16,5.54,4.2,1,1
4,5,Matt Schaub,HOU,29,QB,16,16,6-10-0,365,574,63.6,4370,24,4.2,12,2.1,221,60,7.6,7.5,12.0,273.1,92.0,62.9,32,226,6.84,6.74,5.3,2,2
5,6,Matt Ryan*,ATL,25,QB,16,16,13-3-0,357,571,62.5,3705,28,4.9,9,1.6,202,46,6.5,6.8,10.4,231.6,91.0,69.8,23,158,5.97,6.23,3.9,5,6
6,7,Philip Rivers*,SDG,29,QB,16,16,9-7-0,357,541,66.0,4710,30,5.5,13,2.4,234,59,8.7,8.7,13.2,294.4,101.8,68.1,38,227,7.74,7.77,6.6,1,1
7,8,Eli Manning ,NYG,29,QB,16,16,10-6-0,339,539,62.9,4002,31,5.8,25,4.6,169,92,7.4,6.5,11.8,250.1,85.3,61.1,16,117,7.00,6.09,2.9,1,1
8,9,Mark Sanchez,NYJ,24,QB,16,16,11-5-0,278,507,54.8,3291,17,3.4,13,2.6,162,74,6.5,6.0,11.8,205.7,75.3,51.6,27,171,5.84,5.38,5.1,3,5
9,10,Kyle Orton,DEN,28,QB,13,13,3-10-0,293,498,58.8,3653,20,4.0,9,1.8,173,71,7.3,7.3,12.5,281.0,87.5,53.3,34,243,6.41,6.40,6.4,1,1
10,11,Tom Brady *+,NWE,33,QB,16,16,14-2-0,324,492,65.9,3900,36,7.3,4,0.8,189,79,7.9,9.0,12.0,243.8,111.0,78.3,25,175,7.21,8.25,4.8,2,3
11,12,Chad Henne,MIA,25,QB,15,14,6-8-0,301,490,61.4,3301,15,3.1,19,3.9,167,57,6.7,5.6,11.0,220.1,75.4,46.9,30,178,6.01,4.94,5.8,0,1
12,13,Joe Flacco,BAL,25,QB,16,16,12-4-0,306,489,62.6,3622,25,5.1,10,2.0,174,67,7.4,7.5,11.8,226.4,93.6,60.1,40,294,6.29,6.39,7.6,2,4
13,14,Aaron Rodgers ,GNB,27,QB,15,15,10-5-0,312,475,65.7,3922,28,5.9,11,2.3,183,86,8.3,8.4,12.6,261.5,101.2,69.2,31,193,7.37,7.50,6.1,0,1
14,15,Josh Freeman ,TAM,22,QB,16,16,10-6-0,291,474,61.4,3451,25,5.3,6,1.3,167,64,7.3,7.8,11.9,215.7,95.9,70.3,28,195,6.49,6.94,5.6,5,5
15,16,Donovan McNabb,WAS,34,QB,13,13,5-8-0,275,472,58.3,3377,14,3.0,15,3.2,152,76,7.2,6.3,12.3,259.8,77.1,48.2,37,271,6.10,5.33,7.3,2,2
16,17,Matt Cassel*,KAN,28,QB,15,15,10-5-0,262,450,58.2,3116,27,6.0,7,1.6,164,75,6.9,7.4,11.9,207.7,93.0,60.1,26,182,6.16,6.64,5.5,1,2
17,18,Matt Hasselbeck ,SEA,35,QB,14,14,6-8-0,266,444,59.9,3001,12,2.7,17,3.8,137,87,6.8,5.6,11.3,214.4,73.2,50.3,29,175,5.97,4.86,6.1,0,0
